 Column1 ;Column2;Column3
Channel              :;CH1;CH2
Frequency            :;174,5Hz;174,7Hz
Period               :;5,731ms;5,725ms
PK-PK                :;428,0mV;140,0mV
Probe attenuation    :;1X;1X
Voltage per ADC value:;0,250000mV;0,250000mV
Time interval        :;10,00000uS;10,00000uS
;;
index;CH1_Voltage(mV);CH2_Voltage(mV)
1314;-32;52
1315;-24;52
1316;-28;48
1317;-24;48
1318;-24;48
1319;-24;44
1320;-24;44
1321;-16;44
1322;-40;40
1323;-16;40
1324;-12;36
1325;-8;36
1326;-8;32
1327;-4;32
1328;-4;32
1329;-12;32
1330;0;32
1331;0;32
1332;4;32
1333;8;28
1334;16;28
1335;8;32
1336;12;36
1337;16;36
1338;16;36
1339;16;40
1340;20;44
1341;24;48
1342;24;48
1343;28;52
1344;28;56
1345;36;60
1346;36;60
1347;36;64
1348;36;64
1349;40;64
1350;40;64
1351;44;68
1352;44;68
1353;48;64
1354;52;64
1355;48;68
1356;52;64
1357;56;64
1358;60;64
1359;60;64
1360;60;64
1361;64;64
1362;76;64
1363;68;60
1364;72;60
1365;72;60
1366;72;60
1367;76;60
1368;80;60
1369;80;60
1370;84;56
1371;80;56
1372;84;60
1373;88;60
1374;88;60
1375;92;60
1376;92;4
1377;96;4
1378;100;4
1379;100;0
1380;100;0
1381;100;0
1382;104;-4
1383;100;-4
1384;108;-8
1385;112;-8
1386;116;-12
1387;112;-12
1388;116;-12
1389;120;-16
1390;108;-16
1391;120;-16
1392;124;-20
1393;128;-20
1394;124;-24
1395;132;-24
1396;128;-24
1397;124;-24
1398;132;-24
1399;132;-24
1400;136;-24
1401;136;-24
1402;140;-20
1403;140;-20
1404;160;-16
1405;144;-12
1406;144;-16
1407;148;-12
1408;148;-8
1409;160;-8
1410;148;-4
1411;152;0
1412;156;0
1413;156;4
1414;156;8
1415;156;8
1416;156;8
1417;160;12
1418;160;12
1419;164;12
1420;164;12
1421;164;16
1422;168;12
1423;168;12
1424;168;12
1425;168;12
1426;172;12
1427;172;12
1428;172;12
1429;176;12
1430;180;8
1431;176;8
1432;176;8
1433;184;8
1434;180;8
1435;180;8
1436;180;8
1437;184;4
1438;184;4
1439;184;4
1440;184;4
1441;184;4
1442;188;4
1443;188;4
1444;180;4
1445;188;0
1446;192;4
1447;188;4
1448;192;4
1449;192;0
1450;192;0
1451;188;0
1452;192;0
1453;196;0
1454;192;0
1455;196;0
1456;196;0
1457;196;0
1458;196;0
1459;196;0
1460;196;0
1461;200;0
1462;196;0
1463;200;0
1464;200;0
1465;200;0
1466;196;0
1467;196;-4
1468;200;0
1469;200;-4
1470;200;-4
1471;200;-4
1472;220;-8
1473;200;-8
1474;196;-12
1475;200;-12
1476;200;-12
1477;200;-16
1478;200;-16
1479;200;-20
1480;200;-20
1481;200;-20
1482;204;-20
1483;200;-24
1484;192;-24
1485;200;-24
1486;204;-24
1487;200;-24
1488;200;-24
1489;200;-24
1490;200;-24
1491;196;-20
1492;200;-20
1493;200;-20
1494;200;-16
1495;200;-12
1496;196;-12
1497;196;-8
1498;196;-8
1499;196;-4
1500;196;0
1501;196;0
1502;192;4
1503;192;4
1504;192;8
1505;192;8
1506;192;8
1507;192;12
1508;188;12
1509;188;12
1510;188;12
1511;188;12
1512;176;12
1513;188;16
1514;184;12
1515;184;12
1516;184;12
1517;184;12
1518;184;8
1519;192;12
1520;180;8
1521;180;8
1522;176;8
1523;176;8
1524;176;8
1525;176;8
1526;176;8
1527;172;4
1528;172;8
1529;172;4
1530;172;4
1531;168;4
1532;168;0
1533;172;4
1534;168;0
1535;164;4
1536;164;0
1537;160;0
1538;160;0
1539;156;0
1540;156;4
1541;156;0
1542;152;0
1543;152;0
1544;152;0
1545;148;0
1546;148;0
1547;148;0
1548;144;0
1549;144;0
1550;144;0
1551;140;-4
1552;140;-4
1553;140;-4
1554;112;-8
1555;132;-8
1556;132;-8
1557;132;-12
1558;128;-12
1559;124;-16
1560;128;-16
1561;116;-20
1562;124;-20
1563;120;-20
1564;120;-20
1565;116;-24
1566;124;-20
1567;116;-24
1568;116;-24
1569;112;-28
1570;108;-28
1571;108;-24
1572;108;-24
1573;104;-24
1574;104;-20
1575;104;-20
1576;100;-16
1577;96;-12
1578;96;-12
1579;96;-8
1580;92;-4
1581;88;0
1582;88;-20
1583;84;-20
1584;84;-16
1585;80;-16
1586;80;-12
1587;84;-12
1588;76;-12
1589;72;-12
1590;72;-12
1591;72;-12
1592;68;-8
1593;68;-8
1594;76;-8
1595;60;-12
1596;60;-12
1597;60;-12
1598;56;-12
1599;56;-12
1600;52;-12
1601;48;-12
1602;48;-16
1603;48;-16
1604;48;-16
1605;40;-16
1606;40;-16
1607;36;-16
1608;32;-16
1609;36;-20
1610;36;-16
1611;36;-16
1612;28;-20
1613;24;-20
1614;24;-20
1615;20;-20
1616;20;-20
1617;16;-20
1618;16;-20
1619;16;-20
1620;16;-20
1621;12;-20
1622;-4;-24
1623;4;-20
1624;4;-20
1625;0;-20
1626;0;-20
1627;0;-20
1628;-4;-24
1629;4;-20
1630;-12;-20
1631;-8;-24
1632;-12;-20
1633;-16;-24
1634;-20;-20
1635;-20;-20
1636;-16;-24
1637;-20;-20
1638;-24;-24
1639;-28;-20
1640;-32;-24
1641;-40;-24
1642;-32;-24
1643;-32;-24
1644;-36;-20
1645;-40;-24
1646;-44;-24
1647;-44;-24
1648;-52;-24
1649;-44;-28
1650;-48;-28
1651;-52;-24
1652;-52;-32
1653;-56;-36
1654;-56;-36
1655;-60;-36
1656;-64;-36
1657;-64;-40
1658;-68;-40
1659;-68;-44
1660;-68;-44
1661;-68;-44
1662;-72;-44
1663;-72;-48
1664;-76;-44
1665;-80;-44
1666;-80;-44
1667;-84;-44
1668;-84;-44
1669;-92;-44
1670;-88;-40
1671;-88;-40
1672;-92;-36
1673;-96;-32
1674;-96;-28
1675;-96;-24
1676;-108;-20
1677;-100;-20
1678;-100;-16
1679;-104;-16
1680;-104;-16
1681;-108;-12
1682;-108;-12
1683;-112;-12
1684;-112;-8
1685;-112;-12
1686;-112;-12
1687;-116;-12
1688;-120;-12
1689;-120;-12
1690;-116;-12
1691;-124;-12
1692;-124;-12
1693;-128;-16
1694;-128;-12
1695;-128;-16
1696;-132;-16
1697;-128;-16
1698;-136;-16
1699;-136;-16
1700;-136;-16
1701;-140;-16
1702;-140;-20
1703;-144;-16
1704;-132;-20
1705;-144;-20
1706;-148;-20
1707;-148;-20
1708;-148;-20
1709;-148;-20
1710;-148;-20
1711;-160;-20
1712;-156;-20
1713;-156;-24
1714;-152;-20
1715;-160;-20
1716;-168;-20
1717;-160;-20
1718;-160;-20
1719;-160;-20
1720;-160;-20
1721;-164;-24
1722;-164;-20
1723;-172;-24
1724;-168;-20
1725;-168;-24
1726;-168;-20
1727;-172;-20
1728;-172;-24
1729;-172;-24
1730;-172;-24
1731;-176;-24
1732;-172;-24
1733;-172;-28
1734;-172;-28
1735;-180;-32
1736;-176;-36
1737;-180;-36
1738;-180;-36
1739;-180;-40
1740;-180;-40
1741;-180;-40
1742;-180;-44
1743;-180;-40
1744;-192;-44
1745;-180;-44
1746;-184;-48
1747;-180;-44
1748;-184;-44
1749;-184;-44
1750;-184;-44
1751;-176;-44
1752;-188;-40
1753;-188;-40
1754;-184;-40
1755;-188;-40
1756;-184;-36
1757;-188;-32
1758;-184;-28
1759;-188;-28
1760;-188;-24
1761;-188;-24
1762;-188;-20
